baseline_commit,old_file,old_file_lines,definition,start_line,end_line,definition_lines
4c6d7b6,app/actions/powerpoint.py,519,PowerPointActionHandler.execute,439,512,74
4c6d7b6,app/actions/route_draft.py,61,parse_route_draft,38,61,24
4c6d7b6,app/actions/schema.py,233,,,,
4c6d7b6,app/actions/shopping_list.py,196,make_shopping_list_add_proposal,54,103,50
4c6d7b6,app/actions/shopping_list.py,196,make_shopping_list_add_many_proposal,106,160,55
4c6d7b6,app/adapters/__init__.py,20,,,,
4c6d7b6,app/adapters/base.py,141,format_adapter_context,98,141,44
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,_safe_browser_selection,625,665,41
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,_safe_component_hints,685,708,24
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,sanitize_browser_context,711,802,92
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,ChromeDevToolsProbe._inventory,875,911,37
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,ChromeDevToolsProbe._evaluate_region,980,1114,135
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,ChromeDevToolsProbe._probe_target,1116,1245,130
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,ChromeDevToolsDocumentClient._evaluate_target,1268,1309,42
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,ChromeDevToolsDocumentClient.read_document,1311,1345,35
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,BrowserDevToolsAdapter._read_region_context,1366,1446,81
4c6d7b6,app/adapters/browser_devtools_adapter.py,1546,BrowserDevToolsAdapter.read_context,1448,1546,99
4c6d7b6,app/adapters/figma_client.py,179,FigmaClientConfig.from_dict,47,85,39
4c6d7b6,app/adapters/figma_client.py,179,FigmaClient._json,110,137,28
4c6d7b6,app/adapters/figma_client.py,179,FigmaClient.request,139,170,32
4c6d7b6,app/adapters/office_adapter.py,551,_run_powershell_json,66,89,24
4c6d7b6,app/adapters/office_adapter.py,551,_run_word_selection_vbs,92,113,22
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter.read_context,130,150,21
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter._base_caps,152,174,23
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter._read_excel,176,264,89
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter._read_word,266,345,80
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter._word_context_from_data,347,399,53
4c6d7b6,app/adapters/office_adapter.py,551,OfficeAdapter._read_powerpoint,401,551,151
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_dominant_highlight_color,107,133,27
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_highlight_column_score,144,170,27
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_highlight_runs,173,207,35
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_has_clear_vertical_highlight_boundary,210,250,41
